[2023-06-02 15:45:07,985][inference.model_runners][INFO] - Reading checkpoint from /projects/ml/RF2_allatom/lab_model_weights/aa_diffusion.pt
[2023-06-02 15:45:19,361][inference.model_runners][INFO] - Loading checkpoint.
[2023-06-02 15:45:19,599][diffusion][INFO] - No IGSO3 cache found at ./T_200_omega_1000_min_sigma_0_02_min_b_1_5_max_b_2_5_schedule_linear.pkl.
[2023-06-02 15:45:19,599][diffusion][INFO] - Calculating IGSO3.
[2023-06-02 15:46:34,233][__main__][INFO] - Making design /home/lhtran/class/cheme_577/challenge_4/unrelated/output/des_0
[2023-06-02 15:46:34,298][inference.model_runners][INFO] - Using contig: ['70-120']
[2023-06-02 15:46:34,298][inference.model_runners][INFO] - Using sampled mask: ['118-118']
[2023-06-02 15:47:47,242][inference.model_runners][INFO] - 15:47:47: Timestep 157, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:48,811][inference.model_runners][INFO] - 15:47:48: Timestep 156, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:50,381][inference.model_runners][INFO] - 15:47:50: Timestep 155, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:51,952][inference.model_runners][INFO] - 15:47:51: Timestep 154, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:53,523][inference.model_runners][INFO] - 15:47:53: Timestep 153, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:55,093][inference.model_runners][INFO] - 15:47:55: Timestep 152, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:56,666][inference.model_runners][INFO] - 15:47:56: Timestep 151, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:58,236][inference.model_runners][INFO] - 15:47:58: Timestep 150, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:59,806][inference.model_runners][INFO] - 15:47:59: Timestep 149, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:01,375][inference.model_runners][INFO] - 15:48:01: Timestep 148, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:02,948][inference.model_runners][INFO] - 15:48:02: Timestep 147, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:04,517][inference.model_runners][INFO] - 15:48:04: Timestep 146, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:06,090][inference.model_runners][INFO] - 15:48:06: Timestep 145, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:07,666][inference.model_runners][INFO] - 15:48:07: Timestep 144, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:09,237][inference.model_runners][INFO] - 15:48:09: Timestep 143, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:10,810][inference.model_runners][INFO] - 15:48:10: Timestep 142, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:12,379][inference.model_runners][INFO] - 15:48:12: Timestep 141, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:13,949][inference.model_runners][INFO] - 15:48:13: Timestep 140, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:15,519][inference.model_runners][INFO] - 15:48:15: Timestep 139, current sequence: ??????????????????????????????????????????????????????????????G???????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:17,088][inference.model_runners][INFO] - 15:48:17: Timestep 138, current sequence: ?????????????????????????????????????????????????????????????GG???????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:18,665][inference.model_runners][INFO] - 15:48:18: Timestep 137, current sequence: ?????????????????????????????????????????????????????????????G?????????????????????????????????????E??????????????????aaaaaaaaaaaaaaa
